feature,weight
intercept,-7.575311356186267
radius_mean,1.608630972050273
texture_mean,1.633915074557687
perimeter_mean,1.5782815641343058
area_mean,1.3609188643840695
smoothness_mean,0.3875331129313121
compactness_mean,0.2431215851249667
concavity_mean,1.1863373567052744
concave points_mean,1.8155765977550773
symmetry_mean,0.578272481583137
fractal_dimension_mean,-1.1344143977041152
radius_se,1.0119084994539107
texture_se,0.17780143285072103
perimeter_se,0.834868182724929
area_se,0.6893224629810599
smoothness_se,-0.1678682003555364
compactness_se,-0.5408227476216445
concavity_se,-0.21959766251241364
concave points_se,0.25396723728826454
symmetry_se,-0.1579511955567646
fractal_dimension_se,-0.5469417109769318
radius_worst,2.0359068790423978
texture_worst,2.2811810819524228
perimeter_worst,1.9196099253458527
area_worst,1.4691642946071117
smoothness_worst,1.1404024478165533
compactness_worst,0.7174614191074226
concavity_worst,1.242477681323596
concave points_worst,2.407823019572109
symmetry_worst,1.0929786281035447
fractal_dimension_worst,0.22486343757264715
