feature,shap_importance
concave points_worst,1.5069689750671387
area_se,1.0385037660598755
concave points_mean,0.9675889611244202
perimeter_worst,0.9033395051956177
texture_worst,0.8906973004341125
concavity_worst,0.8519625067710876
compactness_se,0.24010342359542847
smoothness_worst,0.23684020340442657
area_worst,0.2024201601743698
radius_worst,0.19748124480247498
radius_mean,0.14252658188343048
compactness_mean,0.1382116973400116
symmetry_worst,0.13685686886310577
texture_mean,0.10662724822759628
smoothness_mean,0.09953194856643677
radius_se,0.051840443164110184
symmetry_se,0.05028984695672989
concavity_se,0.04090274125337601
symmetry_mean,0.0349801741540432
compactness_worst,0.02555660717189312
concave points_se,0.02254956215620041
concavity_mean,0.019541937857866287
perimeter_se,0.01699412800371647
fractal_dimension_se,0.011381370015442371
texture_se,0.009721075184643269
fractal_dimension_mean,0.0066687725484371185
smoothness_se,0.005794565659016371
fractal_dimension_worst,0.005271207541227341
area_mean,0.0
perimeter_mean,0.0
