feature,shap_importance
perimeter_worst,0.13014986059885086
area_worst,0.09404168067867669
concave points_worst,0.07752941668643194
radius_worst,0.04534641979506928
concave points_mean,0.03884434575208261
concavity_worst,0.03689167789867975
area_se,0.022187400025542516
texture_worst,0.020279478627518447
radius_se,0.015947354438144167
perimeter_se,0.009635876191311253
radius_mean,0.008238380341005385
symmetry_worst,0.007737944045564431
texture_mean,0.006111773298803493
smoothness_worst,0.0020686185841819423
symmetry_se,0.0004039876362877891
