feature,shap_importance
concave points_mean,1.7346588373184204
area_worst,1.4568630456924438
concave points_worst,1.1868318319320679
concavity_worst,0.9875924587249756
area_se,0.8090488910675049
texture_mean,0.6965824365615845
compactness_se,0.4830479919910431
texture_worst,0.47480782866477966
symmetry_se,0.28704559803009033
smoothness_worst,0.21165914833545685
smoothness_mean,0.19518201053142548
fractal_dimension_se,0.09871097654104233
radius_se,0.08875633031129837
perimeter_worst,0.08662626147270203
perimeter_mean,0.03579418733716011
symmetry_worst,0.029380619525909424
compactness_mean,0.024051068350672722
fractal_dimension_worst,0.015999561175704002
compactness_worst,0.01283386442810297
fractal_dimension_mean,0.010162747465074062
