feature,shap_importance
perimeter_worst,1.4555848836898804
area_worst,1.1957745552062988
area_se,1.1407859325408936
concavity_worst,1.055938959121704
texture_worst,0.7398260831832886
concave points_worst,0.7209041714668274
compactness_se,0.3931111991405487
smoothness_worst,0.33402830362319946
smoothness_mean,0.24834312498569489
texture_mean,0.21426618099212646
symmetry_worst,0.21220611035823822
concave points_mean,0.1855940967798233
fractal_dimension_mean,0.16965165734291077
compactness_mean,0.13444176316261292
symmetry_se,0.10866847634315491
radius_se,0.05492264777421951
fractal_dimension_se,0.035291705280542374
compactness_worst,0.03444458171725273
fractal_dimension_worst,0.013894599862396717
perimeter_mean,0.007656491361558437
