feature,mean_importance
compactness_se,-0.0013684643420872832
fractal_dimension_se,-0.0009018756206384925
smoothness_worst,-0.0006180845442936622
concavity_se,-0.0006119127773525967
smoothness_se,-0.0003042161257425069
texture_se,3.7732590020600476e-05
fractal_dimension_worst,6.81961441082457e-05
concave points_se,0.00011178030891615399
symmetry_mean,0.0002684606637085585
smoothness_mean,0.00029206431838402214
symmetry_worst,0.0009687287849905135
symmetry_se,0.0010595618289409691
texture_worst,0.001353822253557979
compactness_mean,0.003076166979346573
texture_mean,0.005251499513571789
fractal_dimension_mean,0.005333922276127468
radius_se,0.005613759749756686
perimeter_se,0.0062746975642793525
compactness_worst,0.007675059554160068
area_se,0.00907894548299445
concavity_worst,0.010382101426315283
perimeter_mean,0.012897184880771717
concavity_mean,0.013187006238758191
radius_worst,0.013208970510660268
perimeter_worst,0.014854494769144988
area_worst,0.015726615416658762
radius_mean,0.016024250436133647
concave points_mean,0.01814042834603493
concave points_worst,0.018220822443741368
area_mean,0.022459592883498837
