name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_DecisionTree,Decision Tree,logloss,0.48448422004766495,39.39,0.0505
2_DecisionTree,Decision Tree,logloss,0.7128612686782781,36.82,0.0451
3_DecisionTree,Decision Tree,logloss,0.7683659325555596,35.0,0.0454
4_Default_RandomForest,Random Forest,logloss,0.17085123668041263,67.81,0.5619
5_RandomForest,Random Forest,logloss,0.15367385364523956,66.09,0.5666
6_RandomForest,Random Forest,logloss,0.18066631701053248,69.43,0.5597
7_RandomForest,Random Forest,logloss,0.16494041201674475,68.63,0.5626
8_RandomForest,Random Forest,logloss,0.1642002581996177,69.59,0.561
5_RandomForest_GoldenFeatures,Random Forest,logloss,0.1610508825619038,86.04,0.6057
8_RandomForest_GoldenFeatures,Random Forest,logloss,0.17541035920434803,80.99,0.6045
7_RandomForest_GoldenFeatures,Random Forest,logloss,0.15590133240172183,88.12,0.5927
5_RandomForest_RandomFeature,Random Forest,logloss,0.16033887493919832,54.37,0.5693
5_RandomForest_SelectedFeatures,Random Forest,logloss,0.15870310993007375,53.7,0.5569
9_RandomForest,Random Forest,logloss,0.1538887394885346,67.6,0.5626
10_RandomForest_GoldenFeatures,Random Forest,logloss,0.1504987025497934,85.69,0.5964
11_DecisionTree,Decision Tree,logloss,0.29959292751817956,24.63,0.0452
12_DecisionTree,Decision Tree,logloss,0.390878144479849,24.49,0.0457
13_DecisionTree,Decision Tree,logloss,0.46932363429406493,33.18,0.0489
Ensemble,Ensemble,logloss,0.23727234052851098,0.96,0.1456
