feature,mean_importance
concavity_se,-0.004085390666440569
concave points_se,-0.0032468250158424945
symmetry_mean,-0.0017049990959585564
texture_se,-0.0012379259014184906
symmetry_se,-0.0012032332068214718
concavity_mean,-0.00037461625262478484
smoothness_se,7.643941376135888e-05
concavity_worst,0.0005426551922984163
smoothness_mean,0.0013584755633522516
radius_mean,0.0017444150962156817
perimeter_mean,0.002048435025721515
perimeter_se,0.0026045202084665404
fractal_dimension_worst,0.0030183158742114135
concave points_mean,0.003119575304842051
compactness_mean,0.003235640446101515
compactness_worst,0.0034886694625313546
area_mean,0.0035013719564345293
fractal_dimension_mean,0.003940147662773344
smoothness_worst,0.00433622896134111
radius_se,0.004424570040920653
fractal_dimension_se,0.005411457790485205
area_se,0.006368985303309219
symmetry_worst,0.006869798852700457
compactness_se,0.007350462124663842
radius_worst,0.012156095502204417
perimeter_worst,0.015042030493713924
concave points_worst,0.018046070753617242
texture_mean,0.02656160650903965
texture_worst,0.04020127195787443
area_worst,0.042873241245450056
