Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,counter
0.0699726103756833,0.1537484792053349,0.0830390114090217,0.1065067910038305,0.1121678599544191,0
0.0855528875388123,0.1180360170856093,0.0897864049137442,0.0746050514885435,0.148445385517221,0
0.084945869966673,0.0790265984980994,0.066822562427507,0.0541051214192001,0.0185069398714029,0
0.0480410537995644,0.038149230489451,0.0588550321050157,0.0534236981044355,0.0845314678867683,0
0.0437946045530103,0.0520824406182172,0.0730882604693376,0.0416930269251322,0.0217897176014396,0
0.0425492432791143,0.045207995353219,0.0216331572310918,0.049719814512378,0.0333731987623138,0
0.0379463492280403,0.0578491047404954,0.0238151396301877,0.0298544729881926,0.0115048826765172,0
0.008385707777177,0.0116471539371153,0.0209177728069416,0.0162912751496191,0.0218583217172231,0
0.0112658172680814,0.0006793079705446,0.0214786314505532,0.0159524067061772,0.0295372455344791,0
0.0166168685379799,0.0035565522410728,0.0148146988172819,0.0102106484925459,0.0081923923213886,0
0.0060761330882645,0.011197736949381,0.009894092469037,0.0133068866879491,0.0114504102019404,0
0.0084778049558583,0.0339530176736263,0.0081427569144992,0.0,1.1102230246251566e-17,2
0.0017738492884862,0.0179609984780906,0.0013820465916794,0.0165985525561987,0.0041903302517639,0
0.0060582748729072,0.0,0.0247465653096747,0.0048634268117153,0.0041522786946703,1
0.0046148222403692,0.0291182226481792,0.0049445907687254,0.0,0.0,2
0.0047976547934549,0.0246738474817927,0.0036161629115058,0.0,0.0035929591306642,1
0.0012359573716443,0.0060930287036308,0.0005803907011908,0.0070138637747866,0.0,1
-2.030315224921808e-05,0.0,0.0,0.0074045257415594,0.0015143973653006,3
0.0017568650153412,0.0,0.0014436215650834,0.0015264010910776,0.0031162373085666,1
0.0023640920321786,0.0,-5.551115123125783e-18,0.0027795444321399,0.0,3
-0.0006612775039575,0.0,0.0008400632718742,0.0014178958540072,0.0,3
-0.0002833742152751,0.0,0.0014250903039879,0.0003791691641539,0.0,3
0.0,0.0,0.0006886122712824,0.0,0.0,4
0.0007687647537333,-0.0002060383237237,0.0,0.0,0.0,4
0.0001764735134533,0.0,-0.0001488773218343,0.0004943851057913,0.0,3
2.018088268097573e-05,0.0,0.0,0.0005443830124068,-0.0001645624069443,3
6.672822877701323e-05,0.0,0.0002324726395715,-0.0003056361521907,0.0002846267910645,2
7.681414370604988e-05,0.0,-5.551115123125783e-18,4.876342092030583e-06,0.0,3
0.0001640709747377,-0.0020879781976607,-5.551115123125783e-18,0.0007681920206266,0.0002259944966656,2
-0.000504727167087,-0.0011610449349152,0.0007798975661319,0.0,-0.0002918819474356,4
-4.108450416617781e-06,0.0,0.0,-0.0004387767081775,-0.0020717255332612,5
