feature,shap_importance
concave points_mean,1.2806274890899658
perimeter_worst,1.1632106304168701
area_mean_diff_radius_worst,1.11974036693573
area_mean_multiply_texture_mean,0.8092973828315735
texture_worst,0.5291701555252075
concave points_worst,0.2863859534263611
radius_mean,0.27312424778938293
texture_worst_sum_texture_se,0.2497122436761856
smoothness_worst,0.2441910058259964
area_worst,0.1861727237701416
concavity_worst,0.1739645004272461
radius_worst,0.10431875288486481
area_se,0.09846483916044235
texture_mean,0.05295149236917496
concavity_worst_diff_concave points_worst,0.04810670018196106
perimeter_se,0.04703238606452942
symmetry_worst,0.026059290394186974
symmetry_se,0.020010225474834442
radius_se,0.017134256660938263
fractal_dimension_se_sum_texture_mean,0.011651950888335705
