feature,mean_importance
concavity_mean,-0.005679954827783859
concavity_worst,-0.00452016427511273
perimeter_mean,-0.003519719065341681
concave points_worst,-0.0034615843283315045
radius_se,-0.0032976096934480502
concave points_mean,-0.002801276651441803
symmetry_worst,-0.0022401450827139236
compactness_worst,-0.0018634832832542746
compactness_mean,-0.0017226763039695282
smoothness_mean,-0.00045983023568895164
symmetry_mean,-0.00035540214654290747
smoothness_se,1.726124643537663e-05
concave points_se,2.0926903309334555e-05
smoothness_worst,8.016248193840059e-05
fractal_dimension_worst,0.0001133221626257619
symmetry_se,0.00012402341567932794
fractal_dimension_mean,0.00016248538308678007
perimeter_se,0.0002585285348327568
fractal_dimension_se,0.0005367739105657743
compactness_se,0.0018502482002528547
area_se,0.004451956793241346
area_mean,0.0050619321510638
concavity_se,0.005180446369500278
texture_se,0.01849887449779604
perimeter_worst,0.030986834269349485
radius_mean,0.03936822629069704
texture_mean,0.05057077769082654
radius_worst,0.1002264804083464
area_worst,0.10226229394818673
texture_worst,0.4116156547938871
