feature,shap_importance
perimeter_worst,0.20535963911522656
area_worst,0.09483602600462376
radius_worst,0.050803758312643596
concave points_mean,0.03326365928004885
concave points_worst,0.023781637408618137
concavity_mean,0.01852187903219294
perimeter_se,0.016062910510168636
texture_worst,0.012020570025939162
texture_mean,0.010285462810010743
concavity_worst,0.009335174639334752
compactness_worst,0.008863377584058432
radius_se,0.006878513269607133
area_se,0.004916341816596684
smoothness_worst,0.0028714272742302763
area_mean,0.0025013560426523414
symmetry_worst,0.0014797103682535771
texture_se,0.0013327633490521206
compactness_se,0.0010639317968865899
concavity_se,0.0008875798729783983
smoothness_mean,0.0004616193103420929
fractal_dimension_worst,0.0004208862254044202
symmetry_mean,0.00035239367656092507
fractal_dimension_mean,0.00018146253009560553
fractal_dimension_se,7.727949597841085e-05
symmetry_se,0.0
concave points_se,0.0
smoothness_se,0.0
compactness_mean,0.0
perimeter_mean,0.0
radius_mean,0.0
