feature,shap_importance
perimeter_worst,1.0179911743932868
concave points_mean,0.879208706568498
area_worst,0.8501876686780678
concave points_worst,0.8382947092253659
concavity_worst,0.8263919096596355
texture_worst,0.7785007502481869
smoothness_worst,0.473690072909401
area_se,0.4438370234302454
texture_mean,0.43507666928188155
area_mean,0.1872630456919005
compactness_se,0.16356530228225882
fractal_dimension_mean,0.1518981758930995
symmetry_se,0.11495476282462948
radius_worst,0.09627750265119177
symmetry_mean,0.08141720398742576
symmetry_worst,0.057996121280921215
radius_se,0.05332412550612215
smoothness_mean,0.04861506516504618
radius_mean,0.04010521183747846
fractal_dimension_worst,0.03314262545911377
compactness_mean,0.02245381127295473
perimeter_se,0.022256950190282527
fractal_dimension_se,0.020951519915285197
compactness_worst,0.020337865966077333
smoothness_se,0.02019806475962255
concavity_se,0.011447048232110353
concavity_mean,0.008471347794403158
texture_se,0.004623158384543761
perimeter_mean,0.0027830829639879065
concave points_se,0.0012441394622471373
