feature,shap_importance
concave points_mean,1.3668416815262339
perimeter_worst,0.9975777886943104
concave points_worst,0.6648368781499616
texture_worst,0.39477834821428637
area_worst,0.31948501271775004
area_se,0.30114330347601675
texture_mean,0.26981087322600916
radius_worst,0.26517473352772
concavity_worst,0.11317303482391537
smoothness_mean,0.10218999056454604
compactness_se,0.0871933401033535
smoothness_worst,0.08655290484826854
radius_se,0.059715959699070655
concavity_mean,0.04171592361698044
symmetry_worst,0.03639451960434408
compactness_worst,0.036058424824371244
fractal_dimension_se,0.03490386095282898
perimeter_se,0.025103439593469157
symmetry_se,0.022213748022533116
smoothness_se,0.017012969388596942
concave points_se,0.014156959327522655
fractal_dimension_worst,0.01390085844108767
compactness_mean,0.01281082045682897
area_mean,0.011232071757578526
fractal_dimension_mean,0.010151781451937585
texture_se,0.0089403314319492
radius_mean,0.00716515525894829
perimeter_mean,0.006713713529581557
concavity_se,0.005334140101666498
symmetry_mean,0.005213821278783924
