feature,weight
intercept,-7.852498266519506
radius_mean,1.618001680316205
texture_mean,1.6249249076197283
perimeter_mean,1.5924238718546482
area_mean,1.3649567811431198
smoothness_mean,0.7604953808972729
compactness_mean,0.5034747749857716
concavity_mean,1.0890994632509594
concave points_mean,1.9310299423288373
symmetry_mean,0.5088081796792859
fractal_dimension_mean,-0.7418115874475028
radius_se,1.0716690345485553
texture_se,0.26204512616046727
perimeter_se,0.8461656647422451
area_se,0.7127469068528756
smoothness_se,0.08163027717922733
compactness_se,-0.5473767726594314
concavity_se,-0.27207419588539955
concave points_se,0.45833607661419484
symmetry_se,-0.31321833705996616
fractal_dimension_se,-0.45837010341153284
radius_worst,1.9862348592279713
texture_worst,2.096848011545029
perimeter_worst,1.8401422957476548
area_worst,1.4435336287318654
smoothness_worst,1.3084839040778378
compactness_worst,0.742474715090114
concavity_worst,0.970412734966336
concave points_worst,2.3322534411351885
symmetry_worst,0.9351779993724536
fractal_dimension_worst,0.3287359474126805
