feature,weight
intercept,-7.645139852890223
radius_mean,1.6822111352674716
texture_mean,1.4796603510080808
perimeter_mean,1.6612735693745044
area_mean,1.4012984801490023
smoothness_mean,0.7363222003247216
compactness_mean,0.43560980860402204
concavity_mean,1.1516177922157187
concave points_mean,1.9264018503406315
symmetry_mean,0.4887435385888875
fractal_dimension_mean,-0.8757142430300453
radius_se,1.0706186726513234
texture_se,0.1881292130003887
perimeter_se,0.832357501255612
area_se,0.7021637952204177
smoothness_se,-0.0006022533851838588
compactness_se,-0.607756823936221
concavity_se,-0.25757998254992354
concave points_se,0.37926379719541514
symmetry_se,-0.2046737983713615
fractal_dimension_se,-0.5130385378528067
radius_worst,2.08513047035431
texture_worst,2.005118306298572
perimeter_worst,1.912290699817172
area_worst,1.483311173423048
smoothness_worst,1.2894589811107506
compactness_worst,0.7146416646498386
concavity_worst,1.0733000847018608
concave points_worst,2.3628216867243896
symmetry_worst,1.0198829613684304
fractal_dimension_worst,0.25385775919015524
