feature,weight
intercept,-7.4796945786168845
radius_mean,1.5214627368662024
texture_mean,1.439504145782027
perimeter_mean,1.5080954647538962
area_mean,1.278889557940213
smoothness_mean,0.49143109828657117
compactness_mean,0.3873015812556606
concavity_mean,1.4906162914381056
concave points_mean,1.8462311051652567
symmetry_mean,0.28426207680615134
fractal_dimension_mean,-0.7511714020255486
radius_se,1.027628375598824
texture_se,0.1640728486047625
perimeter_se,0.8282876365145481
area_se,0.6707072854599199
smoothness_se,0.0230512652666591
compactness_se,-0.3242152676248747
concavity_se,0.12179673701398423
concave points_se,0.6574571970905
symmetry_se,-0.36625489951657625
fractal_dimension_se,-0.21089607490376952
radius_worst,1.9258058517262746
texture_worst,1.9394200979090312
perimeter_worst,1.7796787012276705
area_worst,1.3920764751081793
smoothness_worst,1.1729919657546208
compactness_worst,0.6380674050556266
concavity_worst,1.4275821075032036
concave points_worst,2.4942847709703355
symmetry_worst,0.7784891165538473
fractal_dimension_worst,0.2954280368306031
