feature,weight
intercept,-7.675694142987213
radius_mean,1.62917936676707
texture_mean,1.535714142061138
perimeter_mean,1.597117734582363
area_mean,1.359013952724456
smoothness_mean,0.564538481247114
compactness_mean,0.32294874659931355
concavity_mean,1.1958865449639613
concave points_mean,1.7904644747269334
symmetry_mean,0.3406252683109608
fractal_dimension_mean,-0.9229587257107552
radius_se,0.9022399236236242
texture_se,0.14998625654250228
perimeter_se,0.6629376484945739
area_se,0.6454038017495107
smoothness_se,0.062232720077523056
compactness_se,-0.6194445179125427
concavity_se,-0.22435699292459602
concave points_se,0.27233321968906427
symmetry_se,-0.16580146673085108
fractal_dimension_se,-0.5163210987775722
radius_worst,2.1128005287039957
texture_worst,2.2415270516762837
perimeter_worst,1.9150303957919734
area_worst,1.529744999762749
smoothness_worst,1.3089953977540607
compactness_worst,0.6905044909191606
concavity_worst,1.1287045776981306
concave points_worst,2.4920014516008115
symmetry_worst,1.0332017246671328
fractal_dimension_worst,0.24600651387811093
